2005+AC0-06+AC0-15,65,1300,1310.7,1285,1295.95,112482,0,0,0
2005+AC0-06+AC0-16,66,1292,1310,1282.3,1301.25,181093,0,0,0
2005+AC0-06+AC0-17,67,1296.1,1299,1255.35,1280.2,224634,0,0,0
2005+AC0-06+AC0-20,68,1270.15,1285,1250,1256.35,143825,0,0,0
2005+AC0-06+AC0-21,69,1252,1264.5,1228.3,1256.65,256536,0,0,0
2005+AC0-06+AC0-22,70,1255.2,1286,1255.1,1271.6,156071,0,0,0
2005+AC0-06+AC0-23,71,1280,1280,1255,1260.1,48595,0,0,0
2005+AC0-06+AC0-24,72,1260.1,1260.1,1183.9,1256.4,201980,0,0,0
2005+AC0-06+AC0-27,73,1260,1288,1255,1279.95,215828,0,0,0
2005+AC0-06+AC0-28,74,1273,1274.5,1254.75,1255.85,71910,0,0,0
2005+AC0-06+AC0-29,75,1254.75,1318.35,1231,1289.9,402649,0,0,0
2005+AC0-06+AC0-30,76,1282,1297.4,1256,1265.15,134373,0,0,0
2005+AC0-07+AC0-01,77,1265.15,1274,1257,1264.05,54610,0,0,0
2005+AC0-07+AC0-04,78,1264.05,1282,1258,1269.6,41158,0,0,0
2005+AC0-07+AC0-05,79,1274.5,1297.7,1268.05,1289.95,174673,0,0,0
2005+AC0-07+AC0-06,80,1241,1309,1241,1299.6,142149,0,0,0
2005+AC0-07+AC0-07,81,1304.9,1304.9,1270.15,1282.5,99367,0,0,0
2005+AC0-07+AC0-08,82,1282.5,1292,1210.1,1277.15,89167,0,0,0
2005+AC0-07+AC0-11,83,1280,1300,1276.25,1295.3,43069,0,0,0
2005+AC0-07+AC0-12,84,1290,1294.9,1276,1282.2,74722,0,0,0
2005+AC0-07+AC0-13,85,1280,1287,1270,1276.55,22931,0,0,0
2005+AC0-07+AC0-14,86,1276,1285,1268,1281.1,23867,0,0,0
2005+AC0-07+AC0-15,87,1282,1299.9,1282,1294.9,55508,0,0,0
2005+AC0-07+AC0-18,88,1282,1315,1275.8,1300.7,50951,0,0,0
2005+AC0-07+AC0-19,89,1302,1308,1285,1294.45,38605,0,0,0
2005+AC0-07+AC0-20,90,1295,1334.7,1295,1318.45,170906,0,0,0
2005+AC0-07+AC0-21,91,1301.15,1342,1274.8,1309.35,120945,0,0,0
2005+AC0-07+AC0-22,92,1310,1325.6,1300,1320.95,50600,0,0,0
2005+AC0-07+AC0-25,93,1310.5,1318.9,1290,1299.1,42736,0,0,0
2005+AC0-07+AC0-26,94,1265,1308.7,1265,1281.15,29987,0,0,0
2005+AC0-07+AC0-27,95,1308.7,1315,1275.05,1278.2,8287,0,0,0
2005+AC0-07+AC0-29,96,1280,1293,1266.05,1281.55,124349,0,0,0
2005+AC0-08+AC0-01,97,1270,1275,1263.55,1266.55,22335,0,0,0
2005+AC0-08+AC0-02,98,1269,1269,1242,1246.4,92893,0,0,0
2005+AC0-08+AC0-03,99,1255,1258.5,1230,1235.85,70518,0,0,0
2005+AC0-08+AC0-04,100,1248,1257,1223.2,1229.85,236038,0,0,0
2005+AC0-08+AC0-05,101,1247,1247,1219,1221.75,54904,0,0,0
2005+AC0-08+AC0-08,102,1229,1242,1201.35,1204,85145,0,0,0
2005+AC0-08+AC0-09,103,1205,1225,1166.15,1183.35,184797,0,0,0
2005+AC0-08+AC0-10,104,1190,1199.95,1155.05,1160.2,221819,0,0,0
2005+AC0-08+AC0-11,105,1178,1200.2,1156.25,1185.45,120782,0,0,0
2005+AC0-08+AC0-12,106,1197,1206,1163.05,1167.35,76897,0,0,0
2005+AC0-08+AC0-16,107,1167.35,1184.9,1147.05,1150.45,146286,0,0,0
2005+AC0-08+AC0-17,108,1150,1192,1150,1171.5,291741,0,0,0
2005+AC0-08+AC0-18,109,1180,1190,1160,1171.8,126892,0,0,0
2005+AC0-08+AC0-19,110,1180,1180,1170.05,1173.05,60928,0,0,0
2005+AC0-08+AC0-22,111,1175,1180,1171.25,1175.75,40345,0,0,0
2005+AC0-08+AC0-23,112,1171.25,1174,1155,1159.35,45171,0,0,0
2005+AC0-08+AC0-24,113,1165,1170,1150,1153.65,92471,0,0,0
2005+AC0-08+AC0-25,114,1159.9,1159.9,1130.1,1136.55,131853,0,0,0
2005+AC0-08+AC0-26,115,1149.95,1154,1135,1138,79698,0,0,0
2005+AC0-08+AC0-29,116,1149.9,1149.9,1105.95,1117.15,115303,0,0,0
2005+AC0-08+AC0-30,117,1137,1137,1120,1130.95,56944,0,0,0
2005+AC0-08+AC0-31,118,1130,1143.9,1122,1136.15,73314,0,0,0
2005+AC0-09+AC0-01,119,1137,1147,1123,1129.7,67049,0,0,0
2005+AC0-09+AC0-02,120,1140,1142,1130,1133.9,42825,0,0,0
2005+AC0-09+AC0-05,121,1140,1140,1113,1117.55,57727,0,0,0
2005+AC0-09+AC0-06,122,1125,1130,1120,1126.9,30331,0,0,0
2005+AC0-09+AC0-08,123,1126.9,1130,1113.5,1116,47338,0,0,0
