Date,Open,High,Low,Close,Volume
27-04-2005,1929.0,1958.9,1922.35,1929.55,3975550.0
28-04-2005,1922.3,1942.0,1917.25,1937.05,3059675.0
29-04-2005,1910.0,1910.0,1877.0,1881.85,4282125.0
02-05-2005,1892.4,1912.2,1878.65,1907.35,3962375.0
03-05-2005,1909.0,1914.9,1899.05,1903.05,2818350.0
04-05-2005,1901.2,1933.7,1901.2,1931.5,3079750.0
05-05-2005,1940.1,1959.65,1940.0,1949.2,3490000.0
06-05-2005,1946.2,1976.9,1942.0,1967.9,3690475.0
09-05-2005,1977.1,1988.0,1969.55,1986.15,2562725.0
10-05-2005,1989.4,1989.4,1966.7,1971.1,3508075.0
11-05-2005,1970.0,1974.9,1951.2,1971.35,4097075.0
12-05-2005,1969.0,1985.0,1966.0,1979.15,2609775.0
13-05-2005,1971.65,1980.0,1962.5,1976.6,2493625.0
16-05-2005,1980.0,2004.7,1976.0,2002.4,2897375.0
17-05-2005,2012.0,2012.0,1965.1,1974.65,4195725.0
18-05-2005,1964.55,1976.0,1950.1,1967.2,5362625.0
19-05-2005,1982.0,1992.75,1975.0,1978.25,3283350.0
20-05-2005,1974.0,1993.0,1964.0,1987.7,4171325.0
23-05-2005,1988.15,2013.9,1982.0,2010.15,3788450.0
24-05-2005,2015.15,2028.9,2004.6,2026.1,3807750.0
25-05-2005,2015.6,2040.95,2015.0,2037.35,3680350.0
26-05-2005,2038.7,2075.45,2032.0,2072.0,3426500.0
27-05-2005,2043.4,2070.9,2042.0,2047.45,4385175.0
30-05-2005,2046.2,2055.5,2032.6,2042.2,3112600.0
31-05-2005,2039.0,2066.5,2036.05,2063.0,3081450.0
01-06-2005,2062.7,2076.0,2055.6,2061.1,3146725.0
02-06-2005,2066.0,2069.0,2036.25,2038.1,3470350.0
03-06-2005,2035.0,2079.5,2034.1,2075.85,3743875.0
04-06-2005,2070.0,2075.0,2063.1,2067.3,1223150.0
06-06-2005,2065.0,2093.5,2064.0,2072.35,3505000.0
07-06-2005,2070.0,2088.4,2064.3,2082.9,2802625.0
08-06-2005,2087.0,2097.9,2080.05,2094.35,3534550.0
09-06-2005,2093.0,2094.0,2077.0,2082.1,2919175.0
10-06-2005,2084.0,2099.0,2065.3,2071.55,3977900.0
